video_id,title,channel,published_at,view_count,like_count,comment_count,category_id
jVVwYXV22zg,At Peace (Official Video) Karan Aujla | Latest Punjabi Songs 2025,Rehaan Records,2025-06-26 12:30:05+00:00,9588868,238124,16945,10
rsJ-LGpE7Lc,Chikitu - Official Music Video | COOLIE | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,Sun TV,2025-06-25 12:30:48+00:00,7701956,383603,10864,24
GTbkAqXRUSQ,NEW! Ep 4434 - Bhide ko Kaise Milega भूतनी से चुटकारा? | Taarak Mehta ka Ooltah Chashmah,Taarak Mehta Ka Ooltah Chashmah,2025-06-26 15:30:19+00:00,5315225,50331,1962,23
jJwoylleoZk,Spying on baby in his SCHOOL 😲 *Shocking*,Wanderers Hub,2025-06-25 05:40:06+00:00,4253078,117072,4576,22
BoxOVQ5oP9Y,3BHK (Tamil) - Official Trailer | Siddharth | Sarath Kumar | Sri Ganesh | Amrit Ramnath | Arun Viswa,Think Music India,2025-06-26 05:30:02+00:00,4110095,96845,2824,1
7hJX1eE-Y0Q,SonOfSardaar 2 - OFFICIAL ANNOUNCEMENT | Ajay Devgn & Mrunal Thakur | Vijay Kumar Arora | 25th July,JioStudios,2025-06-26 06:46:04+00:00,3609560,97493,2677,24
HAH88mU5pJc,Kajol Ne Banayi Prawns Biryani aur Dilip Bana DDLJ Ka Shah Rukh Khan! @FarahKhanK,Farah Khan,2025-06-27 08:00:30+00:00,2814907,68250,4149,22
7EIMs3AR_lY,"Junior Teaser -Telugu | Kireeti, Sreeleela | Genelia | Radha Krishna | DSP |Vaaraahi Chalana Chitram",Vaaraahi Chalana Chitram,2025-06-27 11:49:23+00:00,2480636,94436,300,1
ZnapjfATb6w,"The Family Man S3 | Official Announcement | Raj & DK | Manoj Bajpayee, Jaideep Ahlawat",Prime Video India,2025-06-27 12:31:44+00:00,2243585,74608,3035,24
XTXQs14Uyp8,West Indies vs Australia | Australia Tour of West Indies | 2025 | 1st Test | Day 1 | Highlights,FanCode,2025-06-26 01:38:13+00:00,2118953,31775,1289,27
DhJs89oG3Ro,What is This Sigma Brain Rot (ft. a Surprise),Nischay Malhan,2025-06-26 09:00:15+00:00,1851554,111781,2313,27
jp06g8Vkq3w,TRAITOR WINNER REVEALED ft. @Puravjha_ @raftaarmusic,Tanmay Bhat,2025-06-27 14:30:06+00:00,1275706,72644,1076,23
kPtyygC5deg,Filmymoji || Middle Class Madhu || Puri Jagannath Ratha Yatra || Episode 02 || MCM,Filmymoji,2025-06-27 03:37:53+00:00,1247521,94087,3252,24
TWCmkh9ABT0,Rollar  Mahendra//Odia Comedy//4k//Funny Angulia//Khordha Toka//Krishna Rout,Funny Angulia,2025-06-25 06:31:24+00:00,1246797,71342,3426,24
zWC-6EUR_K0,Streets Of India ! | Summer Edition | HardToonz,HardToonz,2025-06-27 07:24:13+00:00,1160650,67807,4335,1
c7VjbWUwTWE,West Indies vs Australia | Australia Tour of West Indies | 2025 | 1st Test | Day 2 | Highlights,FanCode,2025-06-27 04:02:08+00:00,1118764,17102,915,27
vfcpkjIEgvQ,"OG Sambavam with Vj Siddhu, Harshath Khan & Adirchi Arun | @VjSiddhuVlog Fans Assemble | SamVishal",Media Masons,2025-06-26 12:30:07+00:00,1005215,64875,1399,24
KSiPPWoCEOQ,The Traitors Show Roast Ft Sufi Motiwala & Purav Jha,Thugesh,2025-06-27 15:23:35+00:00,981672,55545,1639,24
Qb8S1Rp_gYU,Mangli Renuka Yellamma | Bonalu Song 2025 | Full Song | Suresh Bobbili | Indravathi | Nakka Srikanth,Mangli Official,2025-06-27 02:30:06+00:00,924506,33105,961,10
lTGuddfkeGg,"Kannappa Movie Review | Manchu Vishnu, Prabhas , Akshay Kumar | Kannappa | THYVIEW",Thyview,2025-06-27 03:32:05+00:00,685833,21202,522,24
_sD11omrk8g,Vj Siddhu On Fire! | OG Sambavam - Part 2 | ROFL with Harshath Khan & Adirchi Arun | Sam Vishal,Media Masons,2025-06-27 12:30:06+00:00,585405,45721,1334,24
O3X-ZiDnyAY,Shreya Ke Liye Rishta Ep.1005 | FUNwithPRASAD | #funwithprasad,FUNwithPRASAD,2025-06-27 09:45:55+00:00,481994,23938,2736,23
8RYk_MV4Qm4,ലേബർ റൂമിന്റെ ഫ്രണ്ടിൽ പൊട്ടികരഞ്ഞു ഉമ്മമാർ കണ്ട് നിന്നവർ വരെ കരഞ്ഞു ആൽഹംദുലില്ലഹ്|BABY GIRL,Noufal f tkd,2025-06-27 05:13:02+00:00,462695,8010,801,22
OeaoCsC5v0E,माऊलीच्या मैत्रिणीला चोरांनी खांबाला बांधून टाकलं 🫢,Madhukar Kute Comedy ,2025-06-27 10:22:22+00:00,314217,709,0,24
ikVQVQcd9pQ,മഴക്കാലത്ത് മരത്തിൻറെ വാതിലുകളും ജനലുകളും അടയുന്നില്ലെങ്കിൽ ഈ സൂത്രം ഒന്ന് ചെയ്തു നോക്കൂ💯,Ansi's Vlog,2025-06-27 09:01:16+00:00,131898,2834,217,22
